eta,seed,delta_nominal,particle_oracle_factor,E2_particle_oracle,tik_oracle_lambda,E2_tik_oracle,particle_disc_factor_tau1.0,E2_particle_disc_tau1.0,particle_note_tau1.0,tik_disc_lambda_tau1.0,E2_tik_disc_tau1.0,particle_disc_factor_tau1.2,E2_particle_disc_tau1.2,particle_note_tau1.2,tik_disc_lambda_tau1.2,E2_tik_disc_tau1.2
0.005,23,0.012075938828219984,6.0,0.0272616757664227,0.01,0.017094779999818694,4.0,0.1476831242005528,nonmonotonic,1e-08,6.2049264514890705,4.0,0.1476831242005528,nonmonotonic,0.0026244579799641118,0.01219463128196566
0.005,24,0.012075938828219984,6.0,0.0265378874730239,0.001,0.018241417827284168,4.0,0.0999424073003203,nonmonotonic,2.3372967246266553e-05,0.07658858181845377,4.0,0.0999424073003203,nonmonotonic,0.002698382098269347,0.014446036612338602
0.01,0,0.024151877656439967,6.0,0.0331793109311759,0.01,0.018560049850249394,4.0,0.3189511036336497,nonmonotonic,0.0012897132782319787,0.02408292927511262,4.0,0.3189511036336497,nonmonotonic,0.01,0.018560049850249394
0.01,1,0.024151877656439967,6.0,0.0267771219198964,0.001,0.017431077302579714,4.0,0.1140404346039728,nonmonotonic,0.004902416453018279,0.013226312755191712,6.0,0.0267771219198964,nonmonotonic,0.01,0.0179295007117373
0.01,2,0.024151877656439967,6.0,0.0296557412406745,0.01,0.019874534089996787,4.0,0.1579802044799874,nonmonotonic,0.0010393484949015924,0.03448255779155616,6.0,0.0296557412406745,nonmonotonic,0.01,0.019874534089996787
0.01,3,0.024151877656439967,6.0,0.0301134512579631,0.01,0.022186147596845444,4.0,0.2103151905304809,nonmonotonic,0.0012953352972098634,0.02850631709726198,6.0,0.0301134512579631,nonmonotonic,0.01,0.022186147596845444
0.01,4,0.024151877656439967,6.0,0.0317138677493496,0.01,0.02183417015202105,4.0,0.2593914274665242,nonmonotonic,0.0013666186891823431,0.03827201204896739,4.0,0.2593914274665242,nonmonotonic,0.01,0.02183417015202105
0.01,5,0.024151877656439967,6.0,0.0333259226643844,0.01,0.02477528913282501,4.0,0.2338707289750049,nonmonotonic,0.0027127258253938414,0.02880188610977051,6.0,0.0333259226643844,nonmonotonic,0.01,0.02477528913282501
0.01,6,0.024151877656439967,6.0,0.0311211388721615,0.01,0.019879852475173727,4.0,0.2373449054514511,nonmonotonic,0.0010764672974006672,0.036957467557386714,4.0,0.2373449054514511,nonmonotonic,0.01,0.019879852475173727
0.01,7,0.024151877656439967,6.0,0.032234757971807,0.01,0.02215147106530213,4.0,0.2117737084493532,nonmonotonic,0.004647623938686112,0.0201640281465247,6.0,0.032234757971807,nonmonotonic,0.01,0.02215147106530213
0.01,8,0.024151877656439967,6.0,0.0329122754278342,0.01,0.020707989487453657,4.0,0.2811424461199899,nonmonotonic,0.000136196298609884,0.16483717724238245,4.0,0.2811424461199899,nonmonotonic,0.01,0.020707989487453657
0.01,9,0.024151877656439967,6.0,0.0327385111482357,0.01,0.022736149829507838,4.0,0.2183735476252305,nonmonotonic,0.0015031641810882529,0.047246703611224086,6.0,0.0327385111482357,nonmonotonic,0.01,0.022736149829507838
0.01,10,0.024151877656439967,6.0,0.037151649104569,0.01,0.025848036767357307,4.0,0.2047653078103553,nonmonotonic,0.002557797042534177,0.028838539862916623,6.0,0.037151649104569,nonmonotonic,0.01,0.025848036767357307
0.01,11,0.024151877656439967,6.0,0.0321523112607487,0.01,0.01804480952340727,4.0,0.1986653001623875,nonmonotonic,0.002226382824345522,0.025300690644938176,6.0,0.0321523112607487,nonmonotonic,0.01,0.01804480952340727
0.01,12,0.024151877656439967,6.0,0.0315764208750406,0.01,0.019582537926511726,4.0,0.2226245823770819,nonmonotonic,0.0012687448419498371,0.02681907266314196,6.0,0.0315764208750406,nonmonotonic,0.01,0.019582537926511726
0.01,13,0.024151877656439967,6.0,0.033943591880161,0.01,0.017248495332772246,4.0,0.2839737795725359,nonmonotonic,1e-08,10.035406369906049,4.0,0.2839737795725359,nonmonotonic,0.01,0.017248495332772246
0.01,14,0.024151877656439967,6.0,0.0312388224517878,0.01,0.02037763814190305,4.0,0.1882886043451975,nonmonotonic,0.002723503363577348,0.017450296715895885,6.0,0.0312388224517878,nonmonotonic,0.01,0.02037763814190305
0.01,15,0.024151877656439967,6.0,0.0332159596819688,0.01,0.02021762676733657,4.0,0.2185842396383809,nonmonotonic,0.001403040801281673,0.034609743948901046,6.0,0.0332159596819688,nonmonotonic,0.01,0.02021762676733657
0.01,16,0.024151877656439967,6.0,0.0334543256466852,0.01,0.01749563392502161,4.0,0.2924855632876855,nonmonotonic,0.0016375566299436648,0.02002645737861624,6.0,0.0334543256466852,nonmonotonic,0.01,0.01749563392502161
