study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,C2,0.02,1e-08,0.0,completed,False,,,4.527748955587053e-14,1.8422419227263928e-11,0.2408056831938319,127,136,0.4071822330234314,nan,nan,1e-08,0.0011961780871498227,True,True,nan,4.440892098500626e-16,1.0000000000000004,59.24716920465534,0.26265668039094514,0.2588812303819604,0.26265669039094514,nan,nan,4.6905801735666e-15,12.245020085770546,0.9999866341975909
bandwidth_clean,C2,0.028,1e-08,0.0,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.0030958347245751807,91,98,0.0034972578759036367,nan,nan,1e-08,0.0022225628513901966,True,True,nan,4.440892098500626e-16,1.0000000000000004,1.9935632786397026,0.7032486981450483,0.7031931410967179,0.7032487081450484,nan,nan,2.2433629043955427e-16,0.9855418472436408,0.9999866341975909
bandwidth_clean,C2,0.04,1e-08,0.0,completed,False,,,2.819778764045183e-14,5.719573996132623e-12,0.0062268746160018115,63,68,0.007058932594365638,nan,nan,1e-08,0.004479131695228231,True,True,nan,4.440892098500626e-16,1.0000000000000004,1.9656577898958452,0.7063318004363023,0.7062817301407027,0.7063318104363023,nan,nan,2.4852631515590716e-16,0.9711814308816263,0.9999866341975909
bandwidth_clean,B,0.005,1e-08,0.0,completed,False,,,3.041179429675608e-14,4.9626009652996555e-11,0.5233163003886317,511,547,0.9318962031601918,nan,nan,2.0052655762048596e-09,0.07068858492478136,True,True,nan,1.2457211827942954e-15,0.2005265576204862,313.60361249525516,0.00399992637190541,-1.7208456881689926e-14,0.003999928377170986,nan,nan,4.988708803645309e-11,25.998330185156057,1.9997518452938798
bandwidth_clean,B,0.007,1e-08,0.0,completed,False,,,2.1144676355376034e-14,2.465518404853811e-11,0.6845024478834837,365,391,1.2814690943658036,nan,nan,2.0052655762048596e-09,0.023941678680776804,True,True,nan,2.7682692950984346e-16,0.20052655762048602,248.96271709986135,0.002857090077809321,-7.827072323607354e-15,0.0028570920830748975,nan,nan,5.850547179507707e-13,20.692646112973126,1.9997518452938798
bandwidth_clean,B,0.01,1e-08,0.0,completed,False,,,1.615219588740353e-14,1.3166508840504502e-11,0.028095975370461816,255,273,0.03748684997845702,nan,nan,2.0052655762048596e-09,0.006080701194791101,True,True,nan,4.1524039426476517e-16,0.20052655762048605,97.09794517132869,0.0019999632182269023,-4.718447854656915e-16,0.0019999652234924787,nan,nan,9.773079677767653e-15,2.2283927565810315,1.9997518452938798
bandwidth_clean,B,0.014,1e-08,0.0,completed,False,,,1.1493769128620915e-14,6.6926343643702546e-12,0.01799859282939138,182,195,0.0205402936495419,nan,nan,2.0052655762048596e-09,0.012203683255833476,True,True,nan,2.7682692950984346e-16,0.20052655762048602,53.10978460797082,0.0014285450519324616,-3.3306690738754696e-16,0.0014285470571980378,nan,nan,2.4125327836306326e-15,1.9641985695077628,1.9997518452938798
bandwidth_clean,B,0.02,1e-08,0.0,completed,False,,,9.079339118336223e-15,3.694184310684689e-12,0.03513748879685397,127,136,0.0401580849906364,nan,nan,2.0052655762048596e-09,0.02430175437219804,True,True,nan,2.7682692950984346e-16,0.20052655762048602,48.645298787701506,0.0010490489217517551,-2.0261570199409107e-15,0.0010490509270173313,nan,nan,3.2926614442206373e-15,1.9194735309916737,1.9997518452938798
bandwidth_clean,B,0.028,1e-08,0.0,completed,False,,,4.711107294925761e-15,1.3757884265817602e-12,0.06477993065923542,91,98,0.07343052107059295,nan,nan,2.0052655762048596e-09,0.045434019905870274,True,True,nan,2.7682692950984346e-16,0.20052655762048602,39.17122798858168,0.0017425713442418278,0.0,0.001742573349507404,nan,nan,2.3492691368757797e-15,1.8529110229431487,1.9997518452938798
bandwidth_clean,B,0.04,1e-08,0.0,completed,False,,,5.6544052880532904e-15,1.1469264845001215e-12,0.11823111298359723,63,68,0.13210055708373666,nan,nan,2.0052655762048596e-09,0.08495697211826406,True,True,nan,4.1524039426476517e-16,0.20052655762048605,35.60283829150619,0.0025286761560261994,1.7208456881689926e-15,0.002528678161291776,nan,nan,1.693400797001873e-15,1.7355188952527685,1.9997518452938798
