test,n_grid,n_particles,score_method,bandwidth_factor,epsilon,step,score_L2_error_vs_oracle,score_core_L2_error_vs_oracle,score_Linf_error_vs_oracle,score_core_Linf_error_vs_oracle,max_abs_score,mean_abs_score,score_std,n_denom_below_eps,n_clipped,mass,epsilon_actual
B,400,5000,oracle,4.0,0.0,124,0.0,0.0,0.0,0.0,44.71747705166743,,12.02043070550545,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,125,0.0,0.0,0.0,0.0,44.78228498942347,,12.0378516195714,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,126,0.0,0.0,0.0,0.0,44.847375519931354,,12.05534849692543,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,127,0.0,0.0,0.0,0.0,44.91275070290502,,12.072921891235815,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,128,0.0,0.0,0.0,0.0,44.97841261913733,,12.090572361837038,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,129,0.0,0.0,0.0,0.0,45.0443633707783,,12.108300473804542,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,130,0.0,0.0,0.0,0.0,45.11060508161767,,12.126106798030724,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,131,0.0,0.0,0.0,0.0,45.177139897372264,,12.143991911302155,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,132,0.0,0.0,0.0,0.0,45.24396998597785,,12.161956396378047,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,133,0.0,0.0,0.0,0.0,45.311097537885836,,12.180000842070001,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,134,0.0,0.0,0.0,0.0,45.37852476636483,,12.198125843323082,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,135,0.0,0.0,0.0,0.0,45.44625390780718,,12.216332001298191,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,136,0.0,0.0,0.0,0.0,45.51428722204042,,12.234619923455824,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,137,0.0,0.0,0.0,0.0,45.58262699264409,,12.252990223641193,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,138,0.0,0.0,0.0,0.0,45.651275527271565,,12.271443522170774,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,139,0.0,0.0,0.0,0.0,45.72023515797741,,12.289980445920277,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,140,0.0,0.0,0.0,0.0,45.78950824155011,,12.308601628414094,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,141,0.0,0.0,0.0,0.0,45.85909715985035,,12.327307709916244,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,142,0.0,0.0,0.0,0.0,45.929004320154995,,12.346099337522823,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,143,0.0,0.0,0.0,0.0,45.99923215550692,,12.36497716525604,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,144,0.0,0.0,0.0,0.0,46.069783125070586,,12.383941854159806,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,145,0.0,0.0,0.0,0.0,46.140659714493765,,12.402994072396973,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,146,0.0,0.0,0.0,0.0,46.2118644362754,,12.422134495348203,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,147,0.0,0.0,0.0,0.0,46.28339983013961,,12.44136380571252,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,148,0.0,0.0,0.0,0.0,46.35526846341622,,12.460682693609588,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,149,0.0,0.0,0.0,0.0,46.42747293142777,,12.480091856683748,0.0,0.0,,0.0
B,400,5000,smoothed_log,1.0,0.0,0,2597.6875923861335,0.015779316861314608,14120.231578097717,0.06336510871146217,47.42481779915025,8.198838894947178,10.280831322916583,58.0,0.0,0.20052655208060036,0.0
B,400,5000,smoothed_log,1.0,0.0,1,2597.691578884402,0.016085928919637164,14120.12731624925,0.08362433046527329,51.62473167092936,8.207721074406592,10.296136236332591,58.0,0.0,0.20052655207990666,0.0
B,400,5000,smoothed_log,1.0,0.0,2,2597.695481190804,0.016735149596030226,14120.022608836482,0.1152109106340724,58.61370960494099,8.21629955612117,10.3118987117668,58.0,0.0,0.20052655207867753,0.0
B,400,5000,smoothed_log,1.0,0.0,3,2597.6999580126144,0.018131979013976233,14119.917452997273,0.1638337991911598,65.22109833007579,8.22555084326623,10.3338518040766,58.0,0.0,0.20052655207738834,0.0
B,400,5000,smoothed_log,1.0,0.0,4,2597.7070049910612,0.017240077498747956,14119.811845844899,0.07925923574729055,74.61674254105417,8.23400308894173,10.362813481591228,58.0,0.0,0.20052655207661704,0.0
B,400,5000,smoothed_log,1.0,0.0,5,2597.7166769985133,0.019635340666864246,14119.705784467753,0.12101531471205718,93.62351504537426,8.241755974212047,10.408555717906525,58.0,0.0,0.2005265520765199,0.0
B,400,5000,smoothed_log,1.0,0.0,6,2597.7303744611672,0.024584739268335796,14119.599265929082,0.208699750500692,107.51928032830523,8.253840090456551,10.463015759542978,58.0,0.0,0.20052655207718428,0.0
B,400,5000,smoothed_log,1.0,0.0,7,2597.749120703483,0.03383975241776656,14119.49228726672,0.33924930157351696,112.6838045565781,8.26650224515954,10.508040329562446,58.0,0.0,0.20052655207880588,0.0
B,400,5000,smoothed_log,1.0,0.0,8,2597.7709330533635,0.049688334283002976,14119.384845492916,0.5301282229818085,108.24550437039659,8.26796995024133,10.486158040633427,58.0,0.0,0.20052655207958198,0.0
B,400,5000,smoothed_log,1.0,0.0,9,2597.7860581616615,0.0753888722359379,14119.276937593862,0.8049522564050307,93.36860008270659,8.27088645794155,10.442746663889517,58.0,0.0,0.20052655208015133,0.0
B,400,5000,smoothed_log,1.0,0.0,10,2597.795653468821,0.11601181493643506,14119.168560529683,1.2003998443051174,87.24448548973723,8.291419386928721,10.49361946101173,58.0,0.0,0.20052655208013634,0.0
B,400,5000,smoothed_log,1.0,0.0,11,2597.814785967237,0.1790220609562573,14119.059711233935,1.9416885391159262,109.95923831492479,8.318652940710965,10.673295396278517,58.0,0.0,0.20052655208063824,0.0
B,400,5000,smoothed_log,1.0,0.0,12,2597.8615827234025,0.19524216563519706,14118.950386613356,2.502376434135204,143.11299108755682,8.34080507663276,10.860718569952198,58.0,0.0,0.20052655208048412,0.0
B,400,5000,smoothed_log,1.0,0.0,13,2597.9351693850595,0.2917019316125512,14118.840583547722,3.5311251030332187,162.43405118029162,8.33748518242875,10.864445512705654,58.0,0.0,0.20052655208074305,0.0
B,400,5000,smoothed_log,1.0,0.0,14,2598.0082678549306,0.4386474679070924,14118.73029888932,5.119996765538829,143.90708300096765,8.335766476156605,10.878108163102958,58.0,0.0,0.2005265520800669,0.0
B,400,5000,smoothed_log,1.0,0.0,15,2598.083153368584,0.6564719057768431,14118.619529462838,7.774437789757673,137.67626101312288,8.354280713117928,10.905636748979031,58.0,0.0,0.20052655207849746,0.0
B,400,5000,smoothed_log,1.0,0.0,16,2598.154585605637,0.9856129552039042,14118.508272064915,11.686779239047986,132.00284565895038,8.379359915950573,11.004233871073113,58.0,0.0,0.2005265520795704,0.0
B,400,5000,smoothed_log,1.0,0.0,17,2598.223723965021,1.4809628055383153,14118.396523464024,17.40731386479078,148.13147232868664,8.43139904759535,11.314081294629041,58.0,0.0,0.20052655208036818,0.0
B,400,5000,smoothed_log,1.0,0.0,18,2598.314152136954,2.548853376147852,14118.284280399917,28.50895302546462,189.57029473473006,8.499966554844642,11.78119196355062,58.0,0.0,0.2005265520808021,0.0
B,400,5000,smoothed_log,1.0,0.0,19,2598.43762264154,5.001382796123184,14118.171539583489,51.43487000426686,164.07281712194964,8.528702973840407,11.786981284862307,58.0,0.0,0.20052655207901027,0.0
B,400,5000,smoothed_log,1.0,0.0,20,2598.532293972077,7.233199785293655,14118.058297696432,83.54951685033546,158.8470467757971,8.552198703303551,11.987161368161972,58.0,0.0,0.20052655207890274,0.0
B,400,5000,smoothed_log,1.0,0.0,21,2598.628042825233,9.241435890891577,14117.944551390818,115.49504874208179,193.0582417366569,8.63984094300418,12.617595481953275,58.0,0.0,0.2005265520779133,0.0
B,400,5000,smoothed_log,1.0,0.0,22,2598.7811639885917,13.265323408062,14117.830297288792,153.26343198274722,174.8810801199003,8.742387909688757,13.248060219313981,58.0,0.0,0.20052655208214307,0.0
B,400,5000,smoothed_log,1.0,0.0,23,2598.9398608350375,18.52849822976611,14117.71553198242,175.3005609181044,263.9162470293326,8.782994746901947,13.929791055749236,58.0,0.0,0.2005265520821139,0.0
B,400,5000,smoothed_log,1.0,0.0,24,2599.114098943881,23.126605933497657,14117.600252033015,207.2128590163256,238.2058234618046,8.770239837826775,14.02691287078317,58.0,0.0,0.2005265520822124,0.0
