test,n_grid,method_name,method_type,score_method,n_particles,recon_method,bandwidth_factor,bandwidth_used,epsilon,smooth_sigma_factor,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds,max_score_L2_error_vs_oracle,mean_score_L2_error_vs_oracle,max_abs_score_final,n_denom_below_eps_total,n_clipped_total
Z,400,density_est_smoothed_log_raw,density_particle_smoothed_log,smoothed_log,5000,kde,8.0,0.0200501253132832,0.0,1.0,True,,,0.0466597164995629,0.0920513870774886,0.0274032963524138,0.1035363447193392,0.0188222271625996,0.004608840621709,-6.888212605641413e-12,1.7925253434360489,0.8962626717180244,0.8964428419941082,0.8964076218475477,0.4000000010069449,0.0557782808074141,True,1.8726794944245985e-05,0.1253314137306866,0.1253314137315499,0.5393812079564668,179.95331968685372,178.814645850951,54.917845987887766,0,0
Z,400,density_est_smoothed_log_eps=1e-10,density_particle_smoothed_log,smoothed_log,5000,kde,8.0,0.0200501253132832,1e-10,1.0,True,,,0.0466597164995629,0.092051387086695,0.0274032963551545,0.1035363447338459,0.0188222271658313,0.004608840624363,-6.888212605641413e-12,1.7925253434070352,0.8962626717035177,0.8964428419795986,0.8964076218315634,0.4000000010069449,0.0557782808074924,True,1.8726796329269365e-05,0.1253314137306866,0.1253314137315499,0.5312255829921924,101.53151028521816,84.43905933299266,54.91784465681722,7285,0
Z,400,density_est_smoothed_log_eps=1e-08,density_particle_smoothed_log,smoothed_log,5000,kde,8.0,0.0200501253132832,1e-08,1.0,True,,,0.0466597164995629,0.0920513879981305,0.0274032966264849,0.1035363461700221,0.0188222274857676,0.0046088408871071,-6.888212605641413e-12,1.7925253405346828,0.8962626702673415,0.8964428405431337,0.8964076202491411,0.4000000010069446,0.0557782808152383,True,1.872693345281318e-05,0.1253314137306866,0.1253314137315499,0.5558834159746766,105.23981704717076,87.09556471841489,54.917712880480195,8003,0
Z,400,density_est_smoothed_log_eps=1e-06,density_particle_smoothed_log,smoothed_log,5000,kde,8.0,0.0200501253132832,1e-06,1.0,True,,,0.0466597164995629,0.0920514791447162,0.0274033237604258,0.1035364897874652,0.0188222594801884,0.0046088671610246,-6.888434063094012e-12,1.7925250532997972,0.8962625266498985,0.8964426968968201,0.896407462004765,0.400000001006923,0.0557782815902143,True,1.874070809307511e-05,0.1253314137306866,0.1253314137315499,0.5613512080162764,109.68210352033918,90.92996967645588,54.90453183294767,8896,0
Z,400,density_est_smoothed_log_eps=1e-04,density_particle_smoothed_log,smoothed_log,5000,kde,8.0,0.0200501253132832,0.0001,1.0,True,,,0.0466597164995629,0.0920606242553417,0.0274060462199628,0.1035508498766633,0.0188254669781315,0.0046114894246222,-6.888212605641413e-12,1.792496333121401,0.8962481665607004,0.8964283339208999,0.8963916155243176,0.4000000010041377,0.0557783629528909,True,2.0678827050459233e-05,0.1253314137306866,0.1253314137315499,0.5772752499906346,114.49607410507404,95.55844724983996,53.55603212063168,10180,0
Z,400,density_est_smoothed_log_raw,density_particle_smoothed_log,smoothed_log,5000,kde,12.0,0.0300751879699248,0.0,1.0,True,,,0.09679304103926,0.1682995256148278,0.050102034557192,0.1855646439989505,0.0353287561295241,0.0090935450903211,-6.890870095072602e-12,1.628468744876756,0.8142343724384131,0.8143980530605213,0.8143408108336934,0.4000000009131106,0.0613996504150238,True,1.0381532471963853e-05,0.1253314137306863,0.1253314137315499,0.6049942499957979,35.62462447712297,32.457571777352854,42.59629842023468,0,0
Z,400,density_est_smoothed_log_eps=1e-10,density_particle_smoothed_log,smoothed_log,5000,kde,12.0,0.0300751879699248,1e-10,1.0,True,,,0.09679304103926,0.1682995256246711,0.0501020345601223,0.1855646440104679,0.0353287561323833,0.0090935450918631,-6.890870095072602e-12,1.6284687448537216,0.8142343724268958,0.8143980530490017,0.8143408108202687,0.4000000009131106,0.0613996504156044,True,1.0381533248170176e-05,0.1253314137306863,0.1253314137315499,0.6626998339779675,90.50448609480196,73.33943140950981,42.5962980460386,5041,0
Z,400,density_est_smoothed_log_eps=1e-08,density_particle_smoothed_log,smoothed_log,5000,kde,12.0,0.0300751879699248,1e-08,1.0,True,,,0.09679304103926,0.1682995265991568,0.0501020348502224,0.1855646451506873,0.0353287564154375,0.0090935452445209,-6.890870095072602e-12,1.628468742573283,0.8142343712866763,0.814398051908553,0.8143408094912066,0.4000000009131104,0.0613996504730848,True,1.038161009450153e-05,0.1253314137306863,0.1253314137315499,0.5855010829982348,96.45693517371195,78.51250827935647,42.59626100062406,6124,0
Z,400,density_est_smoothed_log_eps=1e-06,density_particle_smoothed_log,smoothed_log,5000,kde,12.0,0.0300751879699248,1e-06,1.0,True,,,0.09679304103926,0.1682996240481832,0.0501020638603724,0.1855647591724457,0.035328784720926,0.0090935605101422,-6.890870095072602e-12,1.6284685145297657,0.8142342572649179,0.8143979378638735,0.8143406765851848,0.4000000009130845,0.0613996562211981,True,1.0389312530883046e-05,0.1253314137306863,0.1253314137315499,0.6110755419940688,104.98822938232276,86.21764353680614,42.59255637419106,7466,0
Z,400,density_est_smoothed_log_eps=1e-04,density_particle_smoothed_log,smoothed_log,5000,kde,12.0,0.0300751879699248,0.0001,1.0,True,,,0.09679304103926,0.1683093734969884,0.0501049662287491,0.1855761596222277,0.0353316158718785,0.0090950854884599,-6.890870095072602e-12,1.6284457136301982,0.814222856815136,0.8143865351223278,0.8143273850742015,0.4000000009107986,0.0614002318999427,True,1.1323383386859108e-05,0.1253314137306863,0.1253314137315499,0.5573744170251302,112.56869971767004,93.73978484571614,42.2213251408862,9335,0
Z,400,density_est_smoothed_log_raw,density_particle_smoothed_log,smoothed_log,5000,kde,16.0,0.0401002506265664,0.0,1.0,True,,,0.155790648813579,0.2432070570675485,0.0724016798813705,0.2633023417258229,0.0524927068239071,0.0142657047839937,-1.2828077962017837e-10,1.472993347471589,0.7364966747115408,0.7366447281934103,0.7365738194440323,0.4000000003951549,0.067882383877597,True,6.694815356568744e-06,0.1253314137154723,0.1253314137315499,0.5586550000007264,62.72262967686005,46.251996796936666,32.795553434087495,0,0
Z,400,density_est_smoothed_log_eps=1e-10,density_particle_smoothed_log,smoothed_log,5000,kde,16.0,0.0401002506265664,1e-10,1.0,True,,,0.155790648813579,0.2432070570752601,0.0724016798836662,0.2633023417340224,0.0524927068260032,0.0142657047849725,-1.2828077962017837e-10,1.4729933474551902,0.7364966747033412,0.7366447281852092,0.7365738194347173,0.4000000003951548,0.0678823838782641,True,6.694815710050145e-06,0.1253314137154723,0.1253314137315499,0.5423791250213981,87.4449522152973,69.06752913749914,32.795553298071454,3400,0
Z,400,density_est_smoothed_log_eps=1e-08,density_particle_smoothed_log,smoothed_log,5000,kde,16.0,0.0401002506265664,1e-08,1.0,True,,,0.155790648813579,0.2432070578387042,0.0724016801109402,0.2633023425457723,0.0524927070335125,0.014265704881884,-1.2828100107763098e-10,1.4729933458316886,0.7364966738915913,0.7366447273732961,0.7365738185125712,0.4000000003951547,0.0678823839443083,True,6.694850705482374e-06,0.1253314137154723,0.1253314137315499,0.5469023750047199,94.76204721300148,76.51855729397566,32.79553983248175,4255,0
Z,400,density_est_smoothed_log_eps=1e-06,density_particle_smoothed_log,smoothed_log,5000,kde,16.0,0.0401002506265664,1e-06,1.0,True,,,0.155790648813579,0.2432071341830522,0.0724017028383195,0.2633024237205807,0.0524927277844089,0.0142657145729589,-1.2829229540771351e-10,1.4729931834818957,0.7364965927167829,0.7366446461821696,0.7365737262976627,0.4000000003951438,0.0678823905487703,True,6.698355418464701e-06,0.1253314137154709,0.1253314137315499,0.5334361249697395,101.60755011934764,83.21129028340938,32.79419328901698,6013,0
Z,400,density_est_smoothed_log_eps=1e-04,density_particle_smoothed_log,smoothed_log,5000,kde,16.0,0.0401002506265664,0.0001,1.0,True,,,0.155790648813579,0.2432147680025601,0.072403975393084,0.2633105393946412,0.0524948025085162,0.0142666831048806,-1.2944077375689228e-10,1.4729769521161549,0.7364884770427225,0.7366365288766642,0.7365645068765271,0.4000000003940446,0.0678830510572409,True,7.097648504722716e-06,0.1253314137153269,0.1253314137315499,0.5558755420497619,110.57365446207636,91.80086656449096,32.659696805179095,8360,0
Z,400,density_est_fd_grid_ratio_raw,density_particle_fd_grid_ratio,fd_grid_ratio,5000,kde,1.0,0.0025062656641604,0.0,,True,,,0.0016563677773227,0.8604184862836811,0.2561428297313857,1.8131231675280024,0.0133329211942186,0.0041648751753527,2.4690189519841903e-09,37.831617536277086,2.7744923898231666,2.775050129284645,0.9303254841664056,0.3997342986575665,0.0533335617818485,True,0.2552216154039298,0.1253314140409956,0.1253314137315499,0.4617522500338964,2.9318083121742906e+17,2.683325246970393e+17,3.818030649071968,7400,0
