method,eta,seed,rel_L2
smoothed_log_bw4,0.01,8,0.28114244611998995
smoothed_log_bw6,0.01,8,0.03291227542783423
fd_grid_ratio_bw4,0.01,8,0.4991191287048841
tikhonov_optimal,0.01,8,0.020707989487453657
smoothed_log_bw4,0.01,9,0.21837354762523054
smoothed_log_bw6,0.01,9,0.032738511148235776
fd_grid_ratio_bw4,0.01,9,0.558633782449036
tikhonov_optimal,0.01,9,0.022736149829507838
smoothed_log_bw4,0.01,10,0.2047653078103553
smoothed_log_bw6,0.01,10,0.037151649104569064
fd_grid_ratio_bw4,0.01,10,0.5419977373119903
tikhonov_optimal,0.01,10,0.025848036767357307
smoothed_log_bw4,0.01,11,0.19866530016238756
smoothed_log_bw6,0.01,11,0.03215231126074879
fd_grid_ratio_bw4,0.01,11,0.5815347101156554
tikhonov_optimal,0.01,11,0.01804480952340727
smoothed_log_bw4,0.01,12,0.22262458237708194
smoothed_log_bw6,0.01,12,0.03157642087504068
fd_grid_ratio_bw4,0.01,12,0.5257540834114989
tikhonov_optimal,0.01,12,0.019582537926511726
smoothed_log_bw4,0.01,13,0.28397377957253594
smoothed_log_bw6,0.01,13,0.033943591880161036
fd_grid_ratio_bw4,0.01,13,0.5066200344114744
tikhonov_optimal,0.01,13,0.017248495332772246
smoothed_log_bw4,0.01,14,0.18828860434519756
smoothed_log_bw6,0.01,14,0.031238822451787888
fd_grid_ratio_bw4,0.01,14,0.7251971433512002
tikhonov_optimal,0.01,14,0.02037763814190305
smoothed_log_bw4,0.01,15,0.21858423963838097
smoothed_log_bw6,0.01,15,0.03321595968196883
fd_grid_ratio_bw4,0.01,15,0.5565994209666357
tikhonov_optimal,0.01,15,0.02021762676733657
smoothed_log_bw4,0.01,16,0.2924855632876855
smoothed_log_bw6,0.01,16,0.03345432564668526
fd_grid_ratio_bw4,0.01,16,0.4680233119585926
tikhonov_optimal,0.01,16,0.01749563392502161
smoothed_log_bw4,0.01,17,0.1898040689290783
smoothed_log_bw6,0.01,17,0.03123130230561497
fd_grid_ratio_bw4,0.01,17,0.5108218922293508
tikhonov_optimal,0.01,17,0.022783281978141005
smoothed_log_bw4,0.01,18,0.269265195521718
smoothed_log_bw6,0.01,18,0.03472642618739587
fd_grid_ratio_bw4,0.01,18,0.6123502353982674
tikhonov_optimal,0.01,18,0.022622757576818444
smoothed_log_bw4,0.01,19,0.1652371133470677
smoothed_log_bw6,0.01,19,0.026906368319064303
fd_grid_ratio_bw4,0.01,19,0.5000223373471521
tikhonov_optimal,0.01,19,0.017759230642358848
smoothed_log_bw4,0.01,20,0.18226894357937745
smoothed_log_bw6,0.01,20,0.03233082646225426
fd_grid_ratio_bw4,0.01,20,0.6562675598604736
tikhonov_optimal,0.01,20,0.02416183503536971
smoothed_log_bw4,0.01,21,0.19996549486092186
smoothed_log_bw6,0.01,21,0.02892595352612244
fd_grid_ratio_bw4,0.01,21,0.47436944004547577
tikhonov_optimal,0.01,21,0.01901242845211925
smoothed_log_bw4,0.01,22,0.2619587960880376
smoothed_log_bw6,0.01,22,0.034465562187553804
fd_grid_ratio_bw4,0.01,22,0.5357010881062754
tikhonov_optimal,0.01,22,0.022310158635770728
smoothed_log_bw4,0.01,23,0.24634047349972174
smoothed_log_bw6,0.01,23,0.03171969134059455
fd_grid_ratio_bw4,0.01,23,0.5661785450712183
tikhonov_optimal,0.01,23,0.02033325387397858
smoothed_log_bw4,0.01,24,0.1846587271373625
smoothed_log_bw6,0.01,24,0.030376058663051018
fd_grid_ratio_bw4,0.01,24,0.4382376905887525
tikhonov_optimal,0.01,24,0.024658764787843155
