study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,B,0.001,8,R,oracle_continuous,none,completed,False,,,0.005210987835902596,0.005008524083636921,0.005210987835902596,-2.71875,0.0024117240744759055,0.002396901056844834,76,0.0020018142207984934,0.003476956355101742,oracle_continuous,nan,-2.698576229866618
lambda_noise,B,0.001,8,R,residual,1.2,completed,False,,,0.0055981323577475395,0.005339089791127767,0.0055981323577475395,nan,0.0024117240744759055,0.002396901056844834,72,0.0013270410922526243,0.0028940683882037284,morozov,0.0028940688893710864,-2.877115628859562
lambda_noise,B,0.001,8,R,residual,1.0,completed,False,,,0.00800723475055706,0.007355291726070814,0.00800723475055706,nan,0.0024117240744759055,0.002396901056844834,73,0.00048245531497936953,0.0024117240575048933,morozov,0.0024117240744759055,-3.31654290482085
lambda_noise,B,0.001,8,P,oracle_continuous,none,completed,False,,,0.004953487181114011,0.0048466640240640915,0.004953487181114011,-2.71875,0.0024117247155880438,0.00225629484553387,76,0.0018923102966916395,0.0032512560526927504,oracle_continuous,nan,-2.723007647484174
lambda_noise,B,0.001,8,P,residual,1.2,completed,False,,,0.00508091844843306,0.004966138238008262,0.00508091844843306,nan,0.0024117247155880438,0.00225629484553387,73,0.0015005974765517204,0.002894069643289764,morozov,0.0028940696587056525,-2.8237357882074483
lambda_noise,B,0.001,8,P,residual,1.0,completed,False,,,0.006107976257977537,0.005856557370873193,0.006107976257977537,nan,0.0024117247155880438,0.00225629484553387,72,0.0008441819501869798,0.0024117247423422663,morozov,0.0024117247155880438,-3.073563937917215
lambda_noise,B,0.001,9,R,oracle_continuous,none,completed,False,,,0.0034950912070457886,0.0032596011223985422,0.0034950912070457886,-2.890625,0.0024120269218287074,0.0023920428066066383,76,0.0012847514698825489,0.0028664382474532907,oracle_continuous,nan,-2.891180876766732
lambda_noise,B,0.001,9,R,residual,1.2,completed,False,,,0.0034969719677473846,0.0032685747340893885,0.0034969719677473846,nan,0.0024120269218287074,0.0023920428066066383,72,0.0013221761841905784,0.0028944319500195763,morozov,0.002894432306194449,-2.878710669870385
lambda_noise,B,0.001,9,R,residual,1.0,completed,False,,,0.00534736654020143,0.004530949635780579,0.00534736654020143,nan,0.0024120269218287074,0.0023920428066066383,73,0.00045845249720113127,0.0024120269125817986,morozov,0.0024120269218287074,-3.338705657316079
lambda_noise,B,0.001,9,P,oracle_continuous,none,completed,False,,,0.003507895026673396,0.003328057803946601,0.003507895026673396,-2.890625,0.0024120277785545296,0.0022207207307690375,76,0.0012201853253738023,0.0026471077743219977,oracle_continuous,nan,-2.9135742023787934
