study,case,h,eta,seed,arm,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
noise_paired,C1,0.014,0.001,0,R,completed,False,,,5.731046910509935e-14,3.337095174600824e-11,0.7433674431156477,182,195,1.6487172809850066,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.06691523740294075,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,125.72104366377876,0.20604496996372235,0.03381655805471373,0.206044979962419,0.0,0.0,7.639349788783411e-11,53.000389236376826,2.9999151839096183
noise_paired,C1,0.02,0.001,0,R,completed,False,,,4.5271588302605955e-14,1.84200181365084e-11,0.5640918203667735,127,136,1.160446384531161,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.049267630125013326,True,True,0.0,0.0,0.9998696647424039,71.77327069762624,0.26134670169954,0.16341839747065212,0.26134671169823664,0.0,0.0,1.2364663743078609e-12,32.11486994394897,2.9999151839096183
noise_paired,C1,0.028,0.001,0,R,completed,False,,,2.3490620531460645e-14,6.859984678170382e-12,0.3410186844893634,91,98,0.507120330264494,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.014650652205721868,True,True,0.0,1.1103677446911874e-16,0.999869664742404,48.40250934901406,0.1854928451977984,0.17546469820021238,0.18549285519649505,0.0,0.0,3.266023799458193e-15,14.793258459701855,2.9999151839096183
noise_paired,C1,0.04,0.001,0,R,completed,False,,,2.819411247453607e-14,5.718828533982497e-12,0.04381499197779108,63,68,0.06118588035247069,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.01811608517447232,True,True,0.0,1.1103677446911874e-16,0.999869664742404,4.7697342208997515,0.5828594602391217,0.5825880452653582,0.5828594702378184,0.0,0.0,2.8218594549566586e-16,2.589353331914655,2.9999151839096183
noise_paired,C1,0.005,0.001,0,P,completed,False,,,1.5163991706904942e-13,2.4744623466859824e-10,0.8521074897925615,511,547,1.5966838976509514,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.08294146144366009,True,True,0.0,1.1103677446911874e-16,0.999869664742404,347.2296980208658,0.19605224153538592,0.002568969165214763,0.19605225153408257,0.0,0.0,1.4831182177381137e-10,149.93718013546842,2.9999151839096183
noise_paired,C1,0.007,0.001,0,P,completed,False,,,1.0543202211923173e-13,1.2293618811045504e-10,0.7625016304562502,365,391,1.478336994991291,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.08097540916497348,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,262.08572301959015,0.12527833923301246,0.003079980626448764,0.1252783492317091,0.0,0.0,1.405279076410725e-11,105.6760573752593,2.9999151839096183
noise_paired,C1,0.01,0.001,0,P,completed,False,,,8.05384128587958e-14,6.565111841743503e-11,0.7544680517033351,255,273,1.5858297765571465,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.07678523719800212,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,158.06150637643222,0.16755231078748678,0.006211387795843404,0.16755232078618343,0.0,0.0,1.0153833253558267e-10,74.27226863027138,2.9999151839096183
noise_paired,C1,0.014,0.001,0,P,completed,False,,,5.731046910509935e-14,3.337095174600824e-11,0.7433674431156477,182,195,1.6487172809850066,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.06691523740294075,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,125.72104366377876,0.20604496996372235,0.03381655805471373,0.206044979962419,0.0,0.0,7.639349788783411e-11,53.000389236376826,2.9999151839096183
noise_paired,C1,0.02,0.001,0,P,completed,False,,,4.5271588302605955e-14,1.84200181365084e-11,0.5640918203667735,127,136,1.160446384531161,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.049267630125013326,True,True,0.0,0.0,0.9998696647424039,71.77327069762624,0.26134670169954,0.16341839747065212,0.26134671169823664,0.0,0.0,1.2364663743078609e-12,32.11486994394897,2.9999151839096183
noise_paired,C1,0.028,0.001,0,P,completed,False,,,2.3490620531460645e-14,6.859984678170382e-12,0.3410186844893634,91,98,0.507120330264494,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.014650652205721868,True,True,0.0,1.1103677446911874e-16,0.999869664742404,48.40250934901406,0.1854928451977984,0.17546469820021238,0.18549285519649505,0.0,0.0,3.266023799458193e-15,14.793258459701855,2.9999151839096183
noise_paired,C1,0.04,0.001,0,P,completed,False,,,2.819411247453607e-14,5.718828533982497e-12,0.04381499197779108,63,68,0.06118588035247069,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.01811608517447232,True,True,0.0,1.1103677446911874e-16,0.999869664742404,4.7697342208997515,0.5828594602391217,0.5825880452653582,0.5828594702378184,0.0,0.0,2.8218594549566586e-16,2.589353331914655,2.9999151839096183
noise_paired,C1,0.005,0.001,1,R,completed,False,,,1.5165565067886501e-13,2.4747190879571375e-10,0.7998766873232936,511,547,1.6882211593969034,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.08245003319608261,True,True,0.0,7.771767842291747e-16,0.9999734076056003,334.30508777729307,0.1534161572223537,0.0037956866805575196,0.15341616722208776,0.0,0.0,1.2414079694611833e-11,144.78400444888626,2.9999151839096183
noise_paired,C1,0.007,0.001,1,R,completed,False,,,1.0544296136484826e-13,1.2294894352508023e-10,0.8146614807686047,365,391,1.5429249409062424,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.08129672756113272,True,True,0.0,5.551262744494105e-16,0.9999734076056,293.0767344497284,0.10709045756642521,0.013062160786794896,0.1070904675661593,0.0,0.0,5.219059148779936e-10,108.68285651004751,2.9999151839096183
noise_paired,C1,0.01,0.001,1,R,completed,False,,,8.054676923347326e-14,6.56579301402393e-11,0.7086000085484015,255,273,1.4127699353480652,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.07773870066339873,True,True,0.0,2.220505097797642e-16,0.9999734076055997,144.5757999991298,0.2698004967148272,0.021359529610054162,0.2698005067145613,0.0,0.0,3.100419574332171e-12,70.93291881666879,2.9999151839096183
