test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds
H,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,1.0,0.010101010101010102,True,,,0.014846133410296208,0.0192082001201848,0.0060956082157969296,0.02515339781106512,0.0031744380180786396,0.0010411617914371468,-0.0018613812638534773,2.1538168783914884,0.7828536084495409,0.9787114970818571,0.4617147592098427,0.4698322248509341,0.20956352203911596,True,0.14144362332516325,0.23380107903717715,0.2342370835558076,0.008296791987959296
H,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,2.0,0.020202020202020204,True,,,0.027322296920433253,0.05235134088287867,0.01661338707411336,0.05569251671992137,0.007557757334442034,0.00230206978317729,-0.003514815445980712,2.025505249025224,0.7441893798182418,0.9303740752716683,0.460578213672279,0.4700357811092237,0.20981642794667826,True,0.13172419882674566,0.23341378343650418,0.2342370835558076,0.008094999997410923
H,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,4.0,0.04040404040404041,True,,,0.0772066693867805,0.1578816371155458,0.05010279975757204,0.1638568387157885,0.022302579796492555,0.006643054620122135,-0.006927404928717574,1.6352969555410193,0.6360250578223747,0.7951487095470591,0.45564777956447033,0.4707964110360209,0.21135288853829162,True,0.10169391828953626,0.23261442842869468,0.2342370835558076,0.008908416028134525
H,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,histogram,,,True,,,0.014539404377816464,0.013791881848158428,0.004376771783869056,0.026816606291590068,0.0017708819183428143,0.0007100674224490535,-0.0010174200573321592,2.235426049713298,0.7930660881762945,0.9914789815954492,0.4620507638715361,0.4697686868712347,0.20951332425629196,True,0.14471038321632354,0.23399876604882694,0.2342370835558076,0.02919241599738598
H,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,1.0,0.010101010101010102,True,,,0.014860461742344398,0.019216829233296796,0.00609834661358805,0.025152137530988373,0.003177800682073864,0.0010447065524359389,-0.0018749353919645419,2.1538185185076304,0.7828539396230463,0.9787119111098616,0.46171640312734746,0.4698323057063534,0.20956147402468914,True,0.14144331069514013,0.23379790415773827,0.2342370835558076,0.030581000028178096
H,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,2.0,0.020202020202020204,True,,,0.027327398970998104,0.05235315043543973,0.016613961324870283,0.05569258182786496,0.007558891292562723,0.0023031692501737913,-0.0035220743605481075,2.025505338433728,0.7441893147102983,0.9303739938747222,0.4605791148073651,0.4700358612916746,0.20981527091922314,True,0.13172404365596305,0.23341208312952613,0.2342370835558076,0.028737500018905848
H,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.04040404040404041,True,,,0.07720761294912715,0.15788206926177065,0.050102936896609655,0.1638568636672706,0.02230283714633083,0.00664327624425338,-0.006931086262131164,1.6352972291902015,0.6360250328708926,0.7951486783531013,0.4556482636911142,0.4707964875060738,0.21135221310989705,True,0.10169385470629888,0.23261356612389228,0.2342370835558076,0.027364375011529773
H,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,histogram,,,True,,,0.012915251139703423,0.012258352237039964,0.0038901152705980127,0.024497699601016106,0.0017901298983191763,0.0007019866143681386,-0.0011174183135826876,2.2354260497132983,0.7953849948668685,0.9943780429451435,0.46201390599615827,0.4697667524559626,0.20953072433824294,True,0.14463172578000014,0.23397534274892215,0.2342370835558076,0.03893899999093264
H,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,1.0,0.010101010101010102,True,,,0.01486091511592457,0.019217132891246443,0.006098442977634711,0.025152099716461623,0.0031778968665821857,0.0010448173204991838,-0.0018753568601203147,2.15381841151939,0.7828539327535219,0.9787119025216882,0.4617164635152973,0.46983230399272063,0.20956140381109606,True,0.14144330323041063,0.23379780543426665,0.2342370835558076,0.05333858297672123
H,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,2.0,0.020202020202020204,True,,,0.027327561555741498,0.052353240917295124,0.01661399003874965,0.0556925828081849,0.007558918537645228,0.002303201702330058,-0.003522301234486924,2.0255053180087987,0.7441893137299783,0.9303739926491413,0.4605791520632887,0.47003585956684146,0.20981522834524674,True,0.13172404343013833,0.23341202998723637,0.2342370835558076,0.05346195900347084
H,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,4.0,0.04040404040404041,True,,,0.0772076354816109,0.15788208737745188,0.05010294264551349,0.16385686487786222,0.022302837856636924,0.0066432805342333656,-0.006931203030392505,1.6352972211566175,0.636025031660301,0.7951486768396384,0.4556482874255221,0.47079648601548535,0.21135218570793182,True,0.10169386196302288,0.2326135387724353,0.2342370835558076,0.0640565839712508
